Query_Number,Query_Text,True_Positive,False_Positive,False_Negative,Precision@k,Recall@k,F1@k,Response,Date,Claim_Type,Error_Taxonomy
1,Does vitamin D help with depression symptoms?,2,6,7,"0,25","0,22","0,23","Vitamin D supplementation modestly reduces depressive symptoms, with the strongest effects in people who are vitamin D-deficient or already diagnosed with depression.",09.03.2026,Causal / intervention,Error_Taxonomy
2,Can taking vitamin D improve mood or depressive symptoms?,2,7,7,"0,22","0,22","0,22","Yes — vitamin D supplementation reduces depressive symptoms, though the benefit is modest and most pronounced in people who are vitamin D-deficient or already depressed.",09.03.2026,Causal / intervention,
3,Is vitamin D good for mental health?,2,9,7,"0,18","0,22","0,2",Vitamin D supplementation has a modest but real benefit for mental health — specifically for depressive symptoms — with the strongest effects seen in people who are deficient or already experiencing depression.,09.03.2026,Causal / intervention,
4,What is the association between vitamin D status and depressive symptom severity in adults?,0,9,9,0,0,,"Lower vitamin D levels are consistently associated with greater depressive symptom severity in adults, with an inverse dose-response relationship. The association is robust across study designs, though causality remains uncertain.",09.03.2026,Association,Coverage gap
5,Can cholecalciferol improve affective disorder outcomes?,2,11,7,"0,15","0,22","0,18","Cholecalciferol (vitamin D3) modestly improves outcomes in major depressive disorder, but evidence for other affective disorders ooth bipolar disorder and seasonal affective disorder
ooth is limited and inconclusive.",09.03.2026,Mixed/ evidence,Evidence Omission
6,How does serum 25(OH)D concentration relate to depressive symptoms across populations?,0,16,9,0,0,,"Lower serum 25(OH)D concentrations are inversely associated with depressive symptoms across virtually every population studied ooth adults, older adults, adolescents, pregnant women, and across geographic regions
ooth with a nonlinear dose-response relationship where risk increases steeply below ~30
ooth50 nmol/L.",09.03.2026,Association,Coverage gap
7,Does vitamin D supplementation reduce depressive symptom scores on standard scales?,0,9,9,0,0,,"Yes — vitamin D supplementation significantly reduces depressive symptom scores on standard rating scales, with a pooled effect size (SMD) of approximately −0.40 to −0.49 across multiple meta-analyses of RCTs.",11.03.2026,Causal,Confidence amplification
8,What is the effect of vitamin D on symptom severity rather than diagnosis of major depression?,1,10,8,"0,09","0,11","0,1","Vitamin D supplementation reliably reduces continuous depressive symptom scores (SMD ≈ −0.40 to −0.49), but has not been shown to prevent the incidence of new major depressive disorder diagnoses. The evidence is strong for symptom severity reduction and weak-to-null for diagnostic prevention.",11.03.2026,Causal / intervention claim,
9,"Which outcomes show improvement (symptom score, remission, response) after vitamin D supplementation?",1,10,8,"0,09","0,11","0,1","Symptom score reduction is the best-supported outcome, with consistent meta-analytic evidence. Quality of life and clinical severity of illness also improve in individual RCTs. Response rates appear higher in depressed adults. Remission data and incidence prevention data are sparse or negative.",11.03.2026,Evidence ,
10,"In people with clinically significant depressive symptoms, does vitamin D supplementation improve symptoms?",1,9,8,"0,1","0,11","0,1","Yes — vitamin D supplementation significantly improves depressive symptoms in people with clinically significant depression, with a larger effect size than in general populations (SMD = −0.49 to −0.70 vs. −0.15 to −0.36 in mixed samples).",11.03.2026,Causal / intervention,Effect-size oversimplification
11,"Among individuals with vitamin D deficiency, are depressive symptoms different after supplementation?",1,9,8,"0,1","0,11","0,1","Yes — vitamin D supplementation reduces depressive symptoms in people with vitamin D deficiency, but this conclusion is more contested than it initially appear",11.03.2026,contested/ evidence,
12,"In adolescents or young adults, is vitamin D related to depressive symptoms or mood outcomes?",1,10,8,"0,09","0,11","0,1","Yes — low vitamin D is consistently associated with depressive symptoms in adolescents and young adults across observational studies, and emerging supplementation trials in this age group show promising but early-stage results.",11.03.2026,Association,
13,What intervention studies have tested vitamin D supplementation for depressive symptoms?,0,17,12,0,0,,"Yes — low vitamin D is consistently associated with depressive symptoms in adolescents and young adults across observational studies, and emerging supplementation trials in this age group show promising but early-stage results.",11.03.2026,Association,Coverage gap
14,What do trials examining vitamin D and depressive symptoms generally find about symptom change?,0,9,12,0,0,,"Trials generally find that vitamin D supplementation produces a statistically significant but modest reduction in depressive symptom scores, with pooled effect sizes (SMD) ranging from 0.15 to 0.49 depending on the population studied.",11.03.2026,Quantified causal,Coverage gap
15,What study designs provide the clearest evidence on whether vitamin D affects depressive symptoms?,0,10,12,0,0,,"Randomized controlled trials (RCTs) of vitamin D supplementation versus placebo provide the clearest causal evidence, and meta-analyses of these RCTs provide the most reliable pooled estimates. Observational studies (cross-sectional, cohort) establish association but cannot resolve causation due to confounding and reverse causality.",11.03.2026,Evidence,Coverage gap
16,How has evidence on vitamin D supplementation and depressive symptoms changed over the last 10–15 years?,0,13,2,0,0,,"The evidence has shifted from ""suggestive but inconclusive"" around 2011nth2014 to ""probably effective in depressed populations"" by 2022nth2025, driven by a 10-fold increase in the number of available RCTs and increasingly sophisticated subgroup analyses. But the field has also developed a more precise understanding of where the effect does and doesn't apply.",12.03.2026,Historical evidence ,Coverage gap
17,"My doctor says my vitamin D is fine, but I'm convinced it's causing my depression. Am I wrong?",0,5,4,0,0,,"You're not necessarily wrong to wonder, but the evidence suggests that if your vitamin D levels are truly in the normal range, low vitamin D is unlikely to be the cause of your depression.",12.03.2026,Evidence/ сausal,Coverage gap
