Query_Text,Original_Article,Author,Date,Type,Databases,Link
Does vitamin D help with depression symptoms?,The effect of vitamin D supplementation on depression: a systematic review and dose–response meta-analysis of randomized controlled trials,Shadi Ghaemi,2024,meta-analysis,Semantic Scholar,https://www.semanticscholar.org/paper/The-effect-of-vitamin-D-supplementation-on-a-review-Ghaemi-Zeraattalab-Motlagh/297b0625047d802a794aff7cf032672062e84dec?utm_source=direct_link
Does vitamin D help with depression symptoms?,The effect of vitamin D supplementation on depressive symptoms in adults: A systematic review and meta‐analysis of randomized controlled trials,Tuomas Mokola ,2022,Meta‐analyses,Google Scholar,https://www.tandfonline.com/doi/full/10.1080/10408398.2022.2096560
Does vitamin D help with depression symptoms?,Vitamin D supplementation improves anxiety but not depression symptoms in patients with vitamin D deficiency,Cuizhen Zhu,2020,Clinical trial,Semantic Scholar,https://onlinelibrary.wiley.com/doi/10.1002/brb3.1760
Can taking vitamin D improve mood or depressive symptoms?,Impact of Vitamin D Status and Supplementation on Brain-Derived Neurotrophic Factor and Mood–Cognitive Outcomes: A Structured Narrative Review,Aleksandra Skoczek-Rubińska,2025,Review,Semantic Scholar,https://www.semanticscholar.org/paper/Impact-of-Vitamin-D-Status-and-Supplementation-on-A-Skoczek-Rubi%C5%84ska-Cisek-Wo%C5%BAniak/b6c1315d9f45fbf1d88dd5e67307a02d27aefbd6?utm_source=direct_link
Can taking vitamin D improve mood or depressive symptoms?,Effects of vitamin D supplementation on depression and some involved neurotransmitters,Mina Kaviani ,2020,clinical trial,Google Scholar,https://www.sciencedirect.com/science/article/abs/pii/S0165032719333713
Can taking vitamin D improve mood or depressive symptoms?,The effectiveness of vitamin D supplementation in reducing depressive symptoms: A systematic review and meta-analysis of Randomized Controlled Trials (RCTs),T. Albuloshi,2022,RCT,Semantic Scholar,https://www.semanticscholar.org/paper/The-effectiveness-of-vitamin-D-supplementation-in-A-Albuloshi-Dimala/ceebd2a9d321043c44cb32b23a6e77b2c563f017?utm_source=direct_link
Is vitamin D good for mental health?,The effect of vitamin D supplement on negative emotions: A systematic review and meta-analysis,Ying-Chih Cheng,2020,RCT,Google Scholar,https://onlinelibrary.wiley.com/doi/abs/10.1002/da.23025
Is vitamin D good for mental health?,VITAMIN D AND DEPRESSION,Puji Rizki Suryani,2025,Review,Semantic Scholar,https://www.semanticscholar.org/paper/VITAMIN-D-AND-DEPRESSION-Suryani-Zulissetiana/e4221b606c55cc036d1beeddd8f5c9a287e9a088?utm_source=direct_link
Is vitamin D good for mental health?,Association between Vitamin D Supplementation and Mental Health in Healthy Adults: A Systematic Review,Dominika Guzek ,2021,systematic review,Google Scholar,https://www.mdpi.com/2077-0383/10/21/5156
What is the association between vitamin D status and depressive symptom severity in adults?,Vitamin D and Depression: The Evidence from an Indirect Clue to Treatment Strategy,Sok Kuan Wong,2018,review,PubMed,https://pubmed.ncbi.nlm.nih.gov/28914205/
What is the association between vitamin D status and depressive symptom severity in adults?,Latent profile analysis of vitamin D and its association with depression severity of hospitalized patients with bipolar depression,Xiabing Zheng,2024,review,PubMed,https://pubmed.ncbi.nlm.nih.gov/38808700/
What is the association between vitamin D status and depressive symptom severity in adults?,Vitamin D3 supplementation and treatment outcomes in patients with depression (D3-vit-dep),Jens Peter Hansen ,2019,Clinical Trial,PubMed,https://pubmed.ncbi.nlm.nih.gov/30944021/
Can cholecalciferol improve affective disorder outcomes?,Serum Ghrelin and Leptin Concentrations in Patients with Major Depressive Disorder before and after Supplementation with Vitamin D3,Shareefa AlGhamdi,2024,"Research Support, Non-U.S. Gov't",PubMed,https://pubmed.ncbi.nlm.nih.gov/40226697/
Can cholecalciferol improve affective disorder outcomes?,Vitamin D3 Supplemental Treatment for Mania in Youth with Bipolar Spectrum Disorders,Elif M Sikoglu,2015,Research Support,PubMed,https://pubmed.ncbi.nlm.nih.gov/26091195/
Can cholecalciferol improve affective disorder outcomes?,"Efficacy of High-Dose Supplementation With Oral Vitamin D3 on Depressive Symptoms in Dialysis Patients With Vitamin D3 Insufficiency: A Prospective, Randomized, Double-Blind Study",Ying Wang,2016,RST,PubMed,https://pubmed.ncbi.nlm.nih.gov/27022679/
How does serum 25(OH)D concentration relate to depressive symptoms across populations?,Convergent evidence linking neonatal vitamin D status and risk of neurodevelopmental disorders: a Danish case,Henriette Thisted Horsdal,2025,cohort study,PubMed,https://pubmed.ncbi.nlm.nih.gov/40379361/
How does serum 25(OH)D concentration relate to depressive symptoms across populations?,Association of depressive symptoms with 25(OH) vitamin D in hemodialysis patients and effect of gender,Yasemin Coskun Yavuz,2020,Comparative Study,PubMed,https://pubmed.ncbi.nlm.nih.gov/31544220/
How does serum 25(OH)D concentration relate to depressive symptoms across populations?,Vitamin D Deficiency Is Associated With an Increased Likelihood of Incident Depression in Community-Dwelling Older Adults,Robert Briggs,2018,"Research Support, Non-U.S. Gov't",PubMed,https://pubmed.ncbi.nlm.nih.gov/30470577/
Does vitamin D supplementation reduce depressive symptom scores on standard scales?,Vitamin D3 supplementation in multiple sclerosis: Symptoms and biomarkers of depression,Linda Rolf,2017,RST,PubMed,https://pubmed.ncbi.nlm.nih.gov/28566173/
Does vitamin D supplementation reduce depressive symptom scores on standard scales?,"Vitamin D levels and perinatal depressive symptoms in women at risk: a secondary analysis of the mothers, omega-3, and mental health study",Jennifer Anne Williams,2019,RST,Semantic Scholar,https://www.semanticscholar.org/paper/A-systematic-meta-review-of-predictors-of-treatment-Perlman-Benrimoh/26e9c89e97588fc4e6fc9e4b270839dc8a0db979
Does vitamin D supplementation reduce depressive symptom scores on standard scales?,Vitamin D3 supplementation and treatment outcomes in patients with depression (D3-vit-dep),Jens Peter Hansen ,2019,Clinical Trial,PubMed,https://pubmed.ncbi.nlm.nih.gov/30944021/
What is the effect of vitamin D on symptom severity rather than diagnosis of major depression?,Vitamin D supplementation in people with IBS has no effect on symptom severity and quality of life: results of a randomised controlled trial,Claire E Williams,2021,RST,PubMed,https://pubmed.ncbi.nlm.nih.gov/34328539/
What is the effect of vitamin D on symptom severity rather than diagnosis of major depression?,Effect of High-Dose Vitamin D Supplementation on Upper Respiratory Tract Infection Symptom Severity in Healthy Children,Katrina Hueniken,2019,RST,PubMed,https://pubmed.ncbi.nlm.nih.gov/30399024/
What is the effect of vitamin D on symptom severity rather than diagnosis of major depression?,High-Dose Vitamin D in Clinically Isolated Syndrome Typical of Multiple Sclerosis: The D-Lay MS Randomized Clinical Trial,Eric Thouvenot,2025,RST,PubMed,https://pubmed.ncbi.nlm.nih.gov/40063041/
"Which outcomes show improvement (symptom score, remission, response) after vitamin D supplementation?",The impact of vitamin D supplementation as an adjuvant therapy on clinical outcomes in patients with severe atopic dermatitis: A randomized controlled trial,Noha O Mansour,2020,RST,PubMed,https://pubmed.ncbi.nlm.nih.gov/33145984/
"Which outcomes show improvement (symptom score, remission, response) after vitamin D supplementation?",Effect of Vitamin D Supplementation on Graves' Disease: The DAGMAR Trial,Diana Grove-Laugesen,2023,RST,PubMed,https://pubmed.ncbi.nlm.nih.gov/37218433/
"Which outcomes show improvement (symptom score, remission, response) after vitamin D supplementation?",Vitamin D Supplementation Improves Pathological Complete Response in Breast Cancer Patients Undergoing Neoadjuvant Chemotherapy: A Randomized Clinical Trial,Michelle Sako Omodei,2025,RST,PubMed,https://pubmed.ncbi.nlm.nih.gov/40098326/
